(1527+0j),(4019+0j),(27618+0j),(29906+0j)
(20.243923002039033-4.125527833728224j),(16.48813598908896+56.64568146346008j),(127.57066649928095+127.92174225909635j),(-187.39822637313995-209.32856030997257j)
(11.421784849116271+30.592520489962823j),(10.497886956170575-23.03207059838227j),(-90.503744727695-133.66665947491816j),(874.4962382616154+272.655302105117j)
(15.232974985845857-22.386733174637506j),(17.133915725742085+31.66630950303778j),(-307.9003464074308+185.84033554304355j),(1492.0408891477773-189.50301806622548j)
(-18.35169771094111+24.38485810135659j),(0.19131734408658474-34.37614310388055j),(234.75707697861128-13.684208398693627j),(-348.9383316257133+270.25279463223563j)
(1.381067923675154+31.565125615497365j),(-35.33386433768055+33.07805607144685j),(111.1347756576796+136.75762093508223j),(-393.14498501675837-173.081234981436j)
(14.600350836749072+39.92961129818207j),(-11.482533726653088+23.362046742481088j),(90.5445263597918-54.08994978349808j),(-264.9357297564778+265.15903883329037j)
(7.603192526243312+20.446544862491205j),(11.007330201487349+28.782034743753425j),(668.6048616795326+157.84111035714872j),(-3424.637324807888+6.6477369182935035j)
(-20.841431720773876+29.480204001172464j),(-3.9215347757469203-4.4637225625402905j),(-138.9081066417283-50.76975946375072j),(1503.7112787047135+356.9293530937074j)
(35.21989280725942+20.359389064032854j),(11.695472344194314-2.3007933072360807j),(-163.48290882063043+79.54565306127716j),(764.6285384496783+5.677040315616097j)
(-2.203205213728566+28.188422478529255j),(-45.170868296066686-12.812460072306603j),(-20.057725738703084+16.740048235446807j),(631.746370182973+335.6519518073288j)
(9.54771877291985+48.68644065001855j),(-15.67421136085838+30.429596512093422j),(11.354473615668894+191.34203148879038j),(-42.68396453031187+145.28514413075558j)
(29.818887064712754+81.78930325034632j),(-33.58603903255283+2.7712232346315684j),(15.94325407777933+53.94830958102801j),(666.3915677494092+373.2143577777661j)
(28.599476780136172+75.51425903128369j),(9.127221035509052+34.039251372676354j),(-198.53981976457067+164.52774612348762j),(581.6116691681282+204.2930545840193j)
(-11.686199508643+69.62823306597849j),(-22.077879383746705-19.34180321463056j),(-20.049442167980942+252.359727076234j),(510.0118908788064+519.7966080803795j)
(-23.724345456785187+97.71526521926945j),(-15.099933254981323+0.322795079269226j),(-180.07083380146696+345.5062382725451j),(-55.08540949236976+644.9498375157576j)
(-74.8080868365745+123.63374113051549j),(-62.25439847770852-20.87949940638549j),(-330.96296240807465+346.16970785841227j),(-156.87267349486103+807.4230140936274j)
