(8169+0j),(15731+0j),(53782+0j),(56993+0j)
(178.3570183647659+83.24292398269117j),(155.79651365152563+62.01764037023288j),(33.926163490858414-337.3215114521744j),(-974.5752730770112+721.1702399429029j)
(236.67305008274724+40.595371058202986j),(183.62584118239513+48.08325352367329j),(-297.1980166738482-164.5208909550375j),(-309.0428206965332+408.1086383907456j)
(204.08944826157+33.1176440206195j),(98.08985257002712+60.82620178975949j),(-316.0225731687492+61.160949411853835j),(-275.6333887439811-543.5565919357185j)
(227.2215176699445+74.56429525058051j),(112.62107535165+83.92516085391452j),(-337.705037180255-60.669035763517456j),(-115.01937141617577+390.35186595613135j)
(222.91181985232316+22.070019877253788j),(168.67538576938077+41.696231299386405j),(-254.7639106527206+111.00969602340874j),(-663.217668721649-113.24716253135406j)
(200.73098837683074-61.89618267153885j),(68.15839191119764+67.54444531645017j),(64.94143589575913+230.99150128292348j),(-1630.2536415330296+126.76855974469123j)
(201.8736613714955+19.699131047668413j),(136.53854346934477+97.0624588232281j),(-449.2401699571957-5.044006730979092j),(663.6390917314036-64.0066298060409j)
(201.05481455917104+41.02489303549383j),(78.33804880192136-21.07791600973409j),(-251.71105830987358-78.18094579071686j),(66.28308338777697+49.871020792135596j)
(221.80844664961677-9.421247327562163j),(126.6041148051005+49.19594815066709j),(-355.06292498836774+123.44916696765992j),(235.49710115045355-666.5766986701246j)
(244.52668460270417+48.038447760183814j),(164.61041717560596-16.212492227257385j),(-486.2451643349299-762.383267774449j),(-2.412332825570161+2950.193369599562j)
(194.5122527549393-8.221578177264433j),(87.04924229576545+47.976225559982j),(-361.48118420283913-79.66431440747422j),(22.901869234297692+397.53301273819443j)
(233.16220737667504+34.715549778081666j),(105.73679576024188+57.2072324835077j),(-266.8421484364254+41.580936450231476j),(-479.3436183019312+61.32744014971064j)
(212.21527350896974-3.9544643590487745j),(110.1561352656849-29.459753407460706j),(-362.1882221575962-46.92662023315356j),(291.291010987298+285.5071984455501j)
(196.22335572794952-36.215403848702806j),(93.33696304857236+19.048942758266598j),(-98.63327305934502+23.01949935214757j),(-421.1463599121179+451.02928144865973j)
(134.3426579201335+18.878667669363246j),(200.93924033989217+32.90368611088578j),(-58.833970258649515-120.50088264633004j),(-261.0818159242498+659.3447048883247j)
(233.01431238105852-1.7225075073549476j),(101.69791945050972-5.170973298551889j),(-375.3778089700603+98.79094667343423j),(212.57773536273953-520.1665533592487j)
(237.33463730520523+11.617532542508103j),(162.23837314334583+3.3545614686919922j),(-344.38728360753873-69.76859875349726j),(-8.746343911159613-86.25493434108742j)
(200.92284415933182-10.20402284016981j),(120.4573191373317-71.40131083375115j),(-251.41305083211762+63.17285241637943j),(-480.8921383619711-466.7724694360808j)
(264.58764180914903-5.894245295464465j),(102.76975851242915+31.747849057130196j),(625.5318328647535+770.2270312332396j),(-7110.920544369566-3931.0238402954083j)
(206.1770864154546+34.29578372028861j),(115.32361327849466-3.7813201235356004j),(-358.28334698287125-56.00947105762499j),(241.31188745656596+246.74069678829446j)
(235.5483860086285-34.683609467750635j),(74.27916106768623-52.68392377089677j),(-256.05772694794643+10.050358808445406j),(-46.908384129752164+407.8157750733709j)
(242.08079880712168-18.013949175284846j),(108.79537165391821-12.141591762085298j),(-417.53748217514067+13.11445293301859j),(408.4941595402614-131.8818834597405j)
(144.12599593909002+42.20278872986453j),(196.08510438510805-34.74760468338565j),(-110.6627291949195-230.38267642209328j),(89.58083821462003+510.8864018981517j)
(192.44808537661123+50.61233990256597j),(139.1669471302995-9.925766758817726j),(-313.1366488013525-143.18402424720986j),(192.41973040611583+154.7552157176833j)
(216.6402327163455-31.652137728967887j),(167.7719119590156-3.490076731709582j),(-288.23701640570937+55.69349502129777j),(-329.5115522915261-392.7910396987701j)
(220.6573124265289-11.972063914137216j),(94.68182813158057-40.77195796028927j),(-336.0422610908288-21.257940449813276j),(-120.07628194577944+46.98696376270493j)
(209.87765120997858+28.746319015181076j),(144.2092800299016-3.9470433987243396j),(-279.90369715809084+12.110824181902618j),(-504.75176234693754+219.87166093721032j)
(188.93475976165183-35.20741687531782j),(124.79566830667846-40.182560060755975j),(-155.79287157500653+137.44977853858094j),(-913.9063066494089+834.6603075030514j)
(244.82086760339925-22.07223004247254j),(108.43619564853788-8.146676036206141j),(-387.94323671572647-29.108676880040644j),(308.58984731642636-24.00507447302435j)
(217.49879330251056-38.1197971011838j),(106.6344163806823+0.42039132434874027j),(-270.6842527347901-38.60219958486969j),(313.1421330484766+66.49827339105465j)
(220.78909105387112+13.017892777781574j),(150.14843507931175-19.952742411459845j),(-339.22100939483585+74.88805743254713j),(98.07486646802045-374.6987003467974j)
(204.14927109155866+105.11350723479198j),(152.3384934944479+7.308657945030989j),(-460.0433601784464-332.61848622949424j),(380.7226446687796+209.09170881287855j)
(200.08829915419273+12.27048755875289j),(153.54261893165443+8.897141800185715j),(-354.06692958911594-23.401623286061643j),(-50.028866788172536-91.96900285747206j)
(214.55626320550073-35.48514526217376j),(105.92150162578798+3.114831146304473j),(-295.40067921955665-8.460008398304414j),(-341.47848994915125+140.3298821553674j)
(214.69108395952867+40.06446485249648j),(165.29374644668638-37.97701805525757j),(-320.39995074998933-45.73564166842749j),(-64.4504045796507+162.83310168834754j)
(204.69151610647668-20.709662078800392j),(134.42678429278521-40.761347675478326j),(-237.12840004953455+23.30562017162417j),(146.99467311512262+355.75145215111235j)
(120.08557814977362-0.20350830963538424j),(160.14871074397024+42.226166690228176j),(-139.9676428171524-8.493081077470231j),(363.9319964683041+269.5724269634432j)
(244.22681891719344-25.5705503141035j),(132.28993978796086+55.723183487217625j),(-371.0039229771851+18.89361302090369j),(183.65413623415952-257.81848390596264j)
(193.0746975894865+40.95012381885105j),(145.16972861954127+62.11753575734906j),(-341.5327676276588+36.02615084671467j),(6.453353733721087-229.5334762942769j)
(215.6292730087141+106.629397161585j),(159.6263412493821+63.5387689040721j),(-327.8539843297722+56.94347860990764j),(-276.73066636663043-164.7582612171676j)
