(5301+0j),(9952+0j),(34814+0j),(37425+0j)
(11.142478000342422+30.01551951846065j),(11.392372012985874+23.913987925664692j),(115.38412223890032-103.40964432202887j),(-465.10740237469645+324.89534545292906j)
(-39.5038570941242+26.54110271779436j),(23.58437543453195+26.166442808576925j),(253.40254310085686+97.98700742714954j),(-429.34684315201355-871.1216156680694j)
(-3.054252919048409+50.38002700718526j),(18.033719830547057+38.36665570044615j),(112.43951675984636-202.99646258566656j),(-368.5309238813363+487.7291055074j)
(-19.459987329299807+33.20415502426876j),(19.486463926083417+32.37835960447803j),(181.63620327628587-143.68440531906674j),(-420.9458118533828+338.463895584223j)
(14.955034088618987+70.45922894896492j),(10.800955821728934+48.49365703903186j),(-123.01840568200322-273.25782833993924j),(553.4283862014402+786.2936673753529j)
(-2.9709109996913554+20.264612487888563j),(19.68664173912788+42.68594826764867j),(159.45624696225372-90.3673611787094j),(-629.6006465227732+489.6315807461276j)
(29.68784080481531+68.56298962629697j),(11.190541245944544+66.07152506289471j),(217.0952036874973-192.23128786807285j),(-1279.3838391632385+868.3518192323991j)
(4.618824041759893+38.605768105284824j),(16.817581624672727+92.06485820300333j),(-420.4496466507999+363.4630990262153j),(2749.6450450971715-1607.1831211517438j)
(-14.210364483715608+111.85489161677674j),(3.4322567957983523+161.0744012578721j),(1.4166356962819577+66.02578415969762j),(523.0728339632508-396.1919635067006j)
(-27.347524717668612+323.88038553551587j),(1.6762876458279052+496.61594480007733j),(78.94447651260221+183.76664769751716j),(375.84013461422455-655.8634183256352j)
(-27.347524717668612-323.88038553551587j),(1.6762876458279052-496.61594480007733j),(78.94447651260221-183.76664769751716j),(375.84013461422455+655.8634183256352j)
(-14.210364483715608-111.85489161677674j),(3.4322567957983523-161.0744012578721j),(1.4166356962819577-66.02578415969762j),(523.0728339632508+396.1919635067006j)
(4.618824041759893-38.605768105284824j),(16.817581624672727-92.06485820300333j),(-420.4496466507999-363.4630990262153j),(2749.6450450971715+1607.1831211517438j)
(29.68784080481531-68.56298962629697j),(11.190541245944544-66.07152506289471j),(217.0952036874973+192.23128786807285j),(-1279.3838391632385-868.3518192323991j)
(-2.9709109996913554-20.264612487888563j),(19.68664173912788-42.68594826764867j),(159.45624696225372+90.3673611787094j),(-629.6006465227732-489.6315807461276j)
(14.955034088618987-70.45922894896492j),(10.800955821728934-48.49365703903186j),(-123.01840568200322+273.25782833993924j),(553.4283862014402-786.2936673753529j)
(-19.459987329299807-33.20415502426876j),(19.486463926083417-32.37835960447803j),(181.63620327628587+143.68440531906674j),(-420.9458118533828-338.463895584223j)
(-3.054252919048409-50.38002700718526j),(18.033719830547057-38.36665570044615j),(112.43951675984636+202.99646258566656j),(-368.5309238813363-487.7291055074j)
(-39.5038570941242-26.54110271779436j),(23.58437543453195-26.166442808576925j),(253.40254310085686-97.98700742714954j),(-429.34684315201355+871.1216156680694j)
(11.142478000342422-30.01551951846065j),(11.392372012985874-23.913987925664692j),(115.38412223890032+103.40964432202887j),(-465.10740237469645-324.89534545292906j)
(-19.650759968716372-16.671529703738315j),(12.998515139940508-18.577317876177908j),(266.38581977637455+190.12430345100762j),(-952.187657687483-889.629087689834j)
(25.536491220877664-10.141878131625033j),(5.909188140299648-15.306372911520267j),(-230.71451479400662-156.69685325639483j),(1062.6154924598463+902.143309896232j)
(-5.123491665834052-43.07789529761086j),(13.447798483046824-18.951710564488163j),(-39.74419316845183+48.62252266149786j),(316.3483101452691+163.2005524196498j)
(35.91836618633209-8.44003919375508j),(5.69349782354692-13.637286959863658j),(-177.35749234205878+92.36808803709337j),(561.1479289069326-47.45021470793654j)
(-12.112210167115393-50.90802569444338j),(12.878760471981678-6.229201262050108j),(87.8692148285487+102.22553904561425j),(-364.0553532505437+381.9354029892961j)
(25.071926332198387-35.039272938367084j),(5.330059241826746-21.307155537137724j),(27.844334527857313+24.264910768221203j),(-245.08441400745699+466.9448853894758j)
(-14.709825815735798-48.621917613854706j),(19.455043371376092-12.663690254481164j),(280.097885551824-670.858994877237j),(-1218.5240991167898+4659.211515380465j)
(-11.834877412306554-8.31600096088224j),(19.043172762346956-16.54546258576072j),(-68.15313769702567+219.8693103261003j),(417.3043629701343-959.4489669557463j)
(-5.87838493344745-21.958400940651554j),(16.823488204155524-2.05514951619066j),(-20.807962710478932+195.11217279553506j),(273.6180229189455-560.7268905285391j)
(11.485751688190447+32.384125772137104j),(7.032031047372811-10.87677020601298j),(-160.92708521258987-22.966899701355302j),(649.4528114067159-59.38243119594114j)
(40.019221506625655-17.161786516028357j),(10.706782913685458-4.770242580369853j),(-116.85123451670006+141.49360296602308j),(280.61884826034805-345.5963372091617j)
(34.14748263097462-3.5994532404816955j),(1.47620797427885-17.964468453533275j),(-160.6608945301782+88.81615709262401j),(391.29507416778006-383.95041435373486j)
(44.881304221458606-49.75114762220348j),(17.686146106251044-3.7806401816359205j),(-20.466005793094837+173.2186620587642j),(-440.33876059654676-54.05926423643666j)
(27.637725068463993-2.576447391713576j),(4.899986637269308-8.479657655325328j),(-76.48347093941925+128.73198464293444j),(97.5425947960232-192.88868131401776j)
(25.66918427753609-47.437596420622256j),(14.77559320671844+2.7484632060219703j),(-123.15908047842049+232.99574270894254j),(278.44850245405655-357.62647488923596j)
(-8.409090445082484-17.252784996146207j),(8.356934984566351-4.62325604633217j),(-15.083980231234591+23.678483718226378j),(131.6606088571034+231.64915891401358j)
(36.179372121197446-17.86987875149822j),(22.846680444051913-2.058833774193184j),(-72.70857294837197+54.87624295499297j),(221.78977260884744+48.00932683535362j)
(8.780980295442816+9.382853909164584j),(17.74539496364241+2.985550750771541j),(-25.93216209207776+32.54230293351492j),(351.54496869806144+123.48950582589077j)
(62.26286243691811+53.208771377049885j),(19.517465693205736+23.0187171308372j),(-199.2437888830391+143.5946883397427j),(20.045498831156237+46.518151168429696j)
(23.77069303003259+49.3119462355666j),(19.27605631318727+6.324719833186748j),(-331.7105742491826+260.0115975391845j),(-170.81344575104868+391.63917117718836j)
